Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,66194,2015,4,2,13.7,1.0,Y
IDCJAC0011,66194,2015,4,3,15.9,1.0,Y
IDCJAC0011,66194,2015,4,4,16.0,1.0,Y
IDCJAC0011,66194,2015,4,5,14.0,1.0,Y
IDCJAC0011,66194,2015,4,6,12.6,1.0,Y
IDCJAC0011,66194,2015,4,7,10.8,1.0,Y
IDCJAC0011,66194,2015,4,8,12.7,1.0,Y
IDCJAC0011,66194,2015,4,9,12.0,1.0,Y
IDCJAC0011,66194,2015,4,10,13.1,1.0,Y
IDCJAC0011,66194,2015,4,11,13.9,1.0,Y
IDCJAC0011,66194,2015,4,12,10.8,1.0,Y
IDCJAC0011,66194,2015,4,13,11.2,1.0,Y
IDCJAC0011,66194,2015,4,14,9.6,1.0,Y
IDCJAC0011,66194,2015,4,15,10.5,1.0,Y
IDCJAC0011,66194,2015,4,16,12.4,1.0,Y
IDCJAC0011,66194,2015,4,17,18.1,1.0,Y
IDCJAC0011,66194,2015,4,18,17.2,1.0,Y
IDCJAC0011,66194,2015,4,19,14.1,1.0,Y
IDCJAC0011,66194,2015,4,20,11.8,1.0,Y
IDCJAC0011,66194,2015,4,21,13.1,1.0,Y
IDCJAC0011,66194,2015,4,22,11.9,1.0,Y
IDCJAC0011,66194,2015,4,23,10.9,1.0,Y
IDCJAC0011,66194,2015,4,24,11.2,1.0,Y
IDCJAC0011,66194,2015,4,25,9.0,1.0,Y
IDCJAC0011,66194,2015,4,26,10.2,1.0,Y
IDCJAC0011,66194,2015,4,27,8.4,1.0,Y
IDCJAC0011,66194,2015,4,28,7.5,1.0,Y
IDCJAC0011,66194,2015,4,29,7.7,1.0,Y
IDCJAC0011,66194,2015,4,30,12.4,1.0,Y
IDCJAC0011,66194,2015,5,1,11.7,1.0,Y
IDCJAC0011,66194,2015,5,2,12.6,1.0,Y
IDCJAC0011,66194,2015,5,3,16.8,1.0,Y
IDCJAC0011,66194,2015,5,4,16.4,1.0,Y
IDCJAC0011,66194,2015,5,5,11.5,1.0,Y
IDCJAC0011,66194,2015,5,6,10.2,1.0,Y
IDCJAC0011,66194,2015,5,7,7.5,1.0,Y
IDCJAC0011,66194,2015,5,8,6.3,1.0,Y
IDCJAC0011,66194,2015,5,9,6.7,1.0,Y
IDCJAC0011,66194,2015,5,10,4.1,1.0,Y
IDCJAC0011,66194,2015,5,11,13.1,1.0,Y
