Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,066194,2025,01,01,20.0,1,N
IDCJAC0011,066194,2025,01,02,20.9,1,N
IDCJAC0011,066194,2025,01,03,18.1,1,N
IDCJAC0011,066194,2025,01,04,18.9,1,N
IDCJAC0011,066194,2025,01,05,18.3,1,N
IDCJAC0011,066194,2025,01,06,18.8,1,N
IDCJAC0011,066194,2025,01,07,19.5,1,N
IDCJAC0011,066194,2025,01,08,17.9,1,N
IDCJAC0011,066194,2025,01,09,16.7,1,N
IDCJAC0011,066194,2025,01,10,18.0,1,N
IDCJAC0011,066194,2025,01,11,19.2,1,N
IDCJAC0011,066194,2025,01,12,17.9,1,N
IDCJAC0011,066194,2025,01,13,20.8,1,N
IDCJAC0011,066194,2025,01,14,21.3,1,N
IDCJAC0011,066194,2025,01,15,20.6,1,N
IDCJAC0011,066194,2025,01,16,18.3,1,N
IDCJAC0011,066194,2025,01,17,17.8,1,N
IDCJAC0011,066194,2025,01,18,17.3,1,N
IDCJAC0011,066194,2025,01,19,18.3,1,N
IDCJAC0011,066194,2025,01,20,14.3,1,N
IDCJAC0011,066194,2025,01,21,13.8,1,N
IDCJAC0011,066194,2025,01,22,18.6,1,N
IDCJAC0011,066194,2025,01,23,20.7,1,N
IDCJAC0011,066194,2025,01,24,18.1,1,N
IDCJAC0011,066194,2025,01,25,15.3,1,N
IDCJAC0011,066194,2025,01,26,17.6,1,N
IDCJAC0011,066194,2025,01,27,22.8,1,N
IDCJAC0011,066194,2025,01,28,20.9,1,N
IDCJAC0011,066194,2025,01,29,19.6,1,N
IDCJAC0011,066194,2025,01,30,19.3,1,N
IDCJAC0011,066194,2025,01,31,20.7,1,N
IDCJAC0011,066194,2025,02,01,20.3,1,Y
IDCJAC0011,066194,2025,02,02,16.9,1,Y
IDCJAC0011,066194,2025,02,03,18.1,1,Y
IDCJAC0011,066194,2025,02,04,19.6,1,Y
IDCJAC0011,066194,2025,02,05,21.2,1,Y
IDCJAC0011,066194,2025,02,06,20.7,1,Y
IDCJAC0011,066194,2025,02,07,18.9,1,Y
IDCJAC0011,066194,2025,02,08,20.4,1,Y
IDCJAC0011,066194,2025,02,09,20.0,1,Y
IDCJAC0011,066194,2025,02,10,21.8,1,Y
IDCJAC0011,066194,2025,02,11,16.6,1,Y
IDCJAC0011,066194,2025,02,12,17.6,1,Y
IDCJAC0011,066194,2025,02,13,22.0,1,Y
IDCJAC0011,066194,2025,02,14,21.8,1,Y
IDCJAC0011,066194,2025,02,15,19.9,1,Y
IDCJAC0011,066194,2025,02,16,14.8,1,Y
IDCJAC0011,066194,2025,02,17,13.4,1,Y
IDCJAC0011,066194,2025,02,18,12.9,1,Y
IDCJAC0011,066194,2025,02,19,14.8,1,Y
IDCJAC0011,066194,2025,02,20,18.8,1,Y
IDCJAC0011,066194,2025,02,21,17.8,1,Y
IDCJAC0011,066194,2025,02,22,19.6,1,Y
IDCJAC0011,066194,2025,02,23,15.2,1,Y
IDCJAC0011,066194,2025,02,24,19.8,1,Y
IDCJAC0011,066194,2025,02,25,20.7,1,Y
IDCJAC0011,066194,2025,02,26,17.6,1,Y
IDCJAC0011,066194,2025,02,27,20.4,1,Y
IDCJAC0011,066194,2025,02,28,18.8,1,Y
IDCJAC0011,066194,2025,03,01,21.9,1,N
IDCJAC0011,066194,2025,03,02,19.8,1,N
IDCJAC0011,066194,2025,03,03,20.5,1,N
IDCJAC0011,066194,2025,03,04,19.5,1,N
IDCJAC0011,066194,2025,03,05,18.9,1,N
IDCJAC0011,066194,2025,03,06,18.6,1,N
IDCJAC0011,066194,2025,03,07,19.7,1,N
IDCJAC0011,066194,2025,03,08,19.3,1,N
IDCJAC0011,066194,2025,03,09,20.3,1,N
IDCJAC0011,066194,2025,03,10,18.6,1,N
IDCJAC0011,066194,2025,03,11,20.6,1,N
IDCJAC0011,066194,2025,03,12,18.4,1,Y
IDCJAC0011,066194,2025,03,13,17.5,1,Y
IDCJAC0011,066194,2025,03,14,17.8,1,N
IDCJAC0011,066194,2025,03,15,23.0,1,N
IDCJAC0011,066194,2025,03,16,20.6,1,N
IDCJAC0011,066194,2025,03,17,16.7,1,Y
IDCJAC0011,066194,2025,03,18,13.6,1,N
IDCJAC0011,066194,2025,03,19,15.2,1,N
IDCJAC0011,066194,2025,03,20,19.0,1,N
IDCJAC0011,066194,2025,03,21,18.4,1,N
IDCJAC0011,066194,2025,03,22,20.2,1,N
IDCJAC0011,066194,2025,03,23,20.4,1,N
IDCJAC0011,066194,2025,03,24,19.7,1,N
IDCJAC0011,066194,2025,03,25,18.4,1,N
IDCJAC0011,066194,2025,03,26,18.3,1,Y
IDCJAC0011,066194,2025,03,27,16.3,1,N
IDCJAC0011,066194,2025,03,28,17.3,1,N
IDCJAC0011,066194,2025,03,29,18.6,1,N
IDCJAC0011,066194,2025,03,30,18.8,1,N
IDCJAC0011,066194,2025,03,31,17.9,1,N
IDCJAC0011,066194,2025,04,01,17.5,1,Y
IDCJAC0011,066194,2025,04,02,14.3,1,Y
IDCJAC0011,066194,2025,04,03,11.8,1,Y
IDCJAC0011,066194,2025,04,04,12.5,1,Y
IDCJAC0011,066194,2025,04,05,11.5,1,Y
IDCJAC0011,066194,2025,04,06,10.9,1,Y
IDCJAC0011,066194,2025,04,07,12.7,1,Y
IDCJAC0011,066194,2025,04,08,15.0,1,Y
IDCJAC0011,066194,2025,04,09,16.1,1,Y
IDCJAC0011,066194,2025,04,10,12.4,1,Y
IDCJAC0011,066194,2025,04,11,13.6,1,Y
IDCJAC0011,066194,2025,04,12,15.0,1,Y
