Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066037,2025,01,01,30.7,1,N
IDCJAC0010,066037,2025,01,02,24.4,1,N
IDCJAC0010,066037,2025,01,03,25.6,1,N
IDCJAC0010,066037,2025,01,04,29.4,1,N
IDCJAC0010,066037,2025,01,05,31.4,1,N
IDCJAC0010,066037,2025,01,06,32.7,1,N
IDCJAC0010,066037,2025,01,07,23.3,1,N
IDCJAC0010,066037,2025,01,08,20.8,1,N
IDCJAC0010,066037,2025,01,09,23.1,1,N
IDCJAC0010,066037,2025,01,10,27.7,1,N
IDCJAC0010,066037,2025,01,11,27.4,1,N
IDCJAC0010,066037,2025,01,12,29.3,1,N
IDCJAC0010,066037,2025,01,13,30.7,1,N
IDCJAC0010,066037,2025,01,14,30.3,1,N
IDCJAC0010,066037,2025,01,15,32.4,1,N
IDCJAC0010,066037,2025,01,16,22.3,1,N
IDCJAC0010,066037,2025,01,17,21.1,1,N
IDCJAC0010,066037,2025,01,18,24.6,1,N
IDCJAC0010,066037,2025,01,19,23.2,1,N
IDCJAC0010,066037,2025,01,20,24.4,1,N
IDCJAC0010,066037,2025,01,21,27.0,1,N
IDCJAC0010,066037,2025,01,22,36.0,1,N
IDCJAC0010,066037,2025,01,23,24.7,1,N
IDCJAC0010,066037,2025,01,24,24.0,1,N
IDCJAC0010,066037,2025,01,25,26.3,1,N
IDCJAC0010,066037,2025,01,26,29.0,1,N
IDCJAC0010,066037,2025,01,27,31.6,1,N
IDCJAC0010,066037,2025,01,28,42.5,1,N
IDCJAC0010,066037,2025,01,29,24.2,1,N
IDCJAC0010,066037,2025,01,30,24.0,1,N
IDCJAC0010,066037,2025,01,31,26.7,1,N
IDCJAC0010,066037,2025,02,01,28.9,1,N
IDCJAC0010,066037,2025,02,02,29.0,1,N
IDCJAC0010,066037,2025,02,03,30.8,1,N
IDCJAC0010,066037,2025,02,04,31.3,1,N
IDCJAC0010,066037,2025,02,05,31.1,1,N
IDCJAC0010,066037,2025,02,06,28.5,1,N
IDCJAC0010,066037,2025,02,07,31.4,1,N
IDCJAC0010,066037,2025,02,08,30.5,1,N
IDCJAC0010,066037,2025,02,09,27.0,1,N
IDCJAC0010,066037,2025,02,10,24.8,1,N
IDCJAC0010,066037,2025,02,11,27.2,1,N
IDCJAC0010,066037,2025,02,12,28.2,1,N
IDCJAC0010,066037,2025,02,13,30.2,1,N
IDCJAC0010,066037,2025,02,14,29.1,1,N
IDCJAC0010,066037,2025,02,15,26.3,1,N
IDCJAC0010,066037,2025,02,16,21.7,1,N
IDCJAC0010,066037,2025,02,17,22.4,1,N
IDCJAC0010,066037,2025,02,18,27.2,1,N
IDCJAC0010,066037,2025,02,19,27.4,1,N
IDCJAC0010,066037,2025,02,20,22.9,1,N
IDCJAC0010,066037,2025,02,21,23.7,1,N
IDCJAC0010,066037,2025,02,22,29.2,1,N
IDCJAC0010,066037,2025,02,23,29.8,1,N
IDCJAC0010,066037,2025,02,24,25.1,1,N
IDCJAC0010,066037,2025,02,25,23.5,1,N
IDCJAC0010,066037,2025,02,26,29.2,1,N
IDCJAC0010,066037,2025,02,27,30.2,1,N
IDCJAC0010,066037,2025,02,28,35.6,1,N
IDCJAC0010,066037,2025,03,01,31.5,1,N
IDCJAC0010,066037,2025,03,02,25.7,1,N
IDCJAC0010,066037,2025,03,03,24.2,1,N
IDCJAC0010,066037,2025,03,04,27.4,1,N
IDCJAC0010,066037,2025,03,05,27.8,1,N
IDCJAC0010,066037,2025,03,06,27.9,1,N
IDCJAC0010,066037,2025,03,07,28.0,1,N
IDCJAC0010,066037,2025,03,08,27.7,1,N
IDCJAC0010,066037,2025,03,09,28.5,1,N
IDCJAC0010,066037,2025,03,10,28.4,1,N
IDCJAC0010,066037,2025,03,11,23.8,1,N
IDCJAC0010,066037,2025,03,12,26.8,1,N
IDCJAC0010,066037,2025,03,13,30.0,1,N
IDCJAC0010,066037,2025,03,14,34.2,1,N
IDCJAC0010,066037,2025,03,15,34.1,1,N
IDCJAC0010,066037,2025,03,16,39.3,1,N
IDCJAC0010,066037,2025,03,17,20.3,1,N
IDCJAC0010,066037,2025,03,18,24.4,1,N
IDCJAC0010,066037,2025,03,19,27.9,1,N
IDCJAC0010,066037,2025,03,20,30.0,1,N
IDCJAC0010,066037,2025,03,21,29.0,1,N
IDCJAC0010,066037,2025,03,22,24.1,1,N
IDCJAC0010,066037,2025,03,23,24.3,1,N
IDCJAC0010,066037,2025,03,24,27.1,1,N
