Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,066194,2018,01,01,19.4,1,Y
IDCJAC0011,066194,2018,01,02,18.0,1,Y
IDCJAC0011,066194,2018,01,03,19.6,1,Y
IDCJAC0011,066194,2018,01,04,17.5,1,Y
IDCJAC0011,066194,2018,01,05,14.1,1,Y
IDCJAC0011,066194,2018,01,06,17.4,1,Y
IDCJAC0011,066194,2018,01,07,19.8,1,Y
IDCJAC0011,066194,2018,01,08,22.0,1,Y
IDCJAC0011,066194,2018,01,09,21.9,1,Y
IDCJAC0011,066194,2018,01,10,19.1,1,Y
IDCJAC0011,066194,2018,01,11,17.4,1,Y
IDCJAC0011,066194,2018,01,12,19.2,1,Y
IDCJAC0011,066194,2018,01,13,23.0,1,Y
IDCJAC0011,066194,2018,01,14,14.1,1,Y
IDCJAC0011,066194,2018,01,15,15.6,1,Y
IDCJAC0011,066194,2018,01,16,18.1,1,Y
IDCJAC0011,066194,2018,01,17,16.4,1,Y
IDCJAC0011,066194,2018,01,18,11.9,1,Y
IDCJAC0011,066194,2018,01,19,13.3,1,Y
IDCJAC0011,066194,2018,01,20,13.2,1,Y
IDCJAC0011,066194,2018,01,21,16.6,1,Y
IDCJAC0011,066194,2018,01,22,17.7,1,Y
IDCJAC0011,066194,2018,01,23,22.4,1,Y
IDCJAC0011,066194,2018,01,24,20.7,1,Y
IDCJAC0011,066194,2018,01,25,21.5,1,Y
IDCJAC0011,066194,2018,01,26,23.7,1,Y
IDCJAC0011,066194,2018,01,27,23.9,1,Y
IDCJAC0011,066194,2018,01,28,24.2,1,Y
IDCJAC0011,066194,2018,01,29,22.1,1,Y
IDCJAC0011,066194,2018,01,30,18.7,1,Y
IDCJAC0011,066194,2018,01,31,17.8,1,Y
IDCJAC0011,066194,2018,02,01,17.0,1,Y
IDCJAC0011,066194,2018,02,02,14.9,1,Y
IDCJAC0011,066194,2018,02,03,15.8,1,Y
IDCJAC0011,066194,2018,02,04,15.2,1,Y
IDCJAC0011,066194,2018,02,05,14.1,1,Y
IDCJAC0011,066194,2018,02,06,17.0,1,Y
IDCJAC0011,066194,2018,02,07,17.5,1,Y
IDCJAC0011,066194,2018,02,08,15.9,1,Y
IDCJAC0011,066194,2018,02,09,19.4,1,Y
IDCJAC0011,066194,2018,02,10,20.2,1,Y
