Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,66037,2024,01,01,18.5,1,N
IDCJAC0011,66037,2024,01,02,21.0,1,N
IDCJAC0011,66037,2024,01,03,21.8,1,N
IDCJAC0011,66037,2024,01,04,21.6,1,N
IDCJAC0011,66037,2024,01,05,20.4,1,N
IDCJAC0011,66037,2024,01,06,18.5,1,N
IDCJAC0011,66037,2024,01,07,19.7,1,N
IDCJAC0011,66037,2024,01,08,22.1,1,N
IDCJAC0011,66037,2024,01,09,20.6,1,N
IDCJAC0011,66037,2024,01,10,21.2,1,N
IDCJAC0011,66037,2024,01,11,22.6,1,N
IDCJAC0011,66037,2024,01,12,22.5,1,N
IDCJAC0011,66037,2024,01,13,20.7,1,N
IDCJAC0011,66037,2024,01,14,20.5,1,N
IDCJAC0011,66037,2024,01,15,18.9,1,N
IDCJAC0011,66037,2024,01,16,18.4,1,N
IDCJAC0011,66037,2024,01,17,21.0,1,N
IDCJAC0011,66037,2024,01,18,21.2,1,N
IDCJAC0011,66037,2024,01,19,18.9,1,N
IDCJAC0011,66037,2024,01,20,21.8,1,N
IDCJAC0011,66037,2024,01,21,21.4,1,N
IDCJAC0011,66037,2024,01,22,20.7,1,N
IDCJAC0011,66037,2024,01,23,20.4,1,N
IDCJAC0011,66037,2024,01,24,19.5,1,N
IDCJAC0011,66037,2024,01,25,24.1,1,N
IDCJAC0011,66037,2024,01,26,23.4,1,N
IDCJAC0011,66037,2024,01,27,19.6,1,N
IDCJAC0011,66037,2024,01,28,18.6,1,N
IDCJAC0011,66037,2024,01,29,21.7,1,N
IDCJAC0011,66037,2024,01,30,22.2,1,N
IDCJAC0011,66037,2024,01,31,21.6,1,N
IDCJAC0011,66037,2024,02,01,20.2,1,N
IDCJAC0011,66037,2024,02,02,21.5,1,N
IDCJAC0011,66037,2024,02,03,21.7,1,N
IDCJAC0011,66037,2024,02,04,21.7,1,N
IDCJAC0011,66037,2024,02,05,24.2,1,N
IDCJAC0011,66037,2024,02,06,20.7,1,N
IDCJAC0011,66037,2024,02,07,18.3,1,N
IDCJAC0011,66037,2024,02,08,19.4,1,N
IDCJAC0011,66037,2024,02,09,17.8,1,N
IDCJAC0011,66037,2024,02,10,19.2,1,N
IDCJAC0011,66037,2024,02,11,18.3,1,N
IDCJAC0011,66037,2024,02,12,21.4,1,N
IDCJAC0011,66037,2024,02,13,22.6,1,N
IDCJAC0011,66037,2024,02,14,21.5,1,N
IDCJAC0011,66037,2024,02,15,18.9,1,N
IDCJAC0011,66037,2024,02,16,18.7,1,N
IDCJAC0011,66037,2024,02,17,21.0,1,N
IDCJAC0011,66037,2024,02,18,21.9,1,N
IDCJAC0011,66037,2024,02,19,21.7,1,N
IDCJAC0011,66037,2024,02,20,18.3,1,N
IDCJAC0011,66037,2024,02,21,17.9,1,N
IDCJAC0011,66037,2024,02,22,20.5,1,N
IDCJAC0011,66037,2024,02,23,22.6,1,N
IDCJAC0011,66037,2024,02,24,19.5,1,N
IDCJAC0011,66037,2024,02,25,15.7,1,N
IDCJAC0011,66037,2024,02,26,19.7,1,N
IDCJAC0011,66037,2024,02,27,21.5,1,N
IDCJAC0011,66037,2024,02,28,20.4,1,N
IDCJAC0011,66037,2024,02,29,22.7,1,N
