Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066194,2024,01,01,25.1,1,N
IDCJAC0010,066194,2024,01,02,27.7,1,N
IDCJAC0010,066194,2024,01,03,28.0,1,N
IDCJAC0010,066194,2024,01,04,26.4,1,N
IDCJAC0010,066194,2024,01,05,24.1,1,N
IDCJAC0010,066194,2024,01,06,26.1,1,N
IDCJAC0010,066194,2024,01,07,27.7,1,N
IDCJAC0010,066194,2024,01,08,27.1,1,N
IDCJAC0010,066194,2024,01,09,25.6,1,N
IDCJAC0010,066194,2024,01,10,28.6,1,N
IDCJAC0010,066194,2024,01,11,28.6,1,N
IDCJAC0010,066194,2024,01,12,28.4,1,N
IDCJAC0010,066194,2024,01,13,30.8,1,N
IDCJAC0010,066194,2024,01,14,26.3,1,N
IDCJAC0010,066194,2024,01,15,23.9,1,N
IDCJAC0010,066194,2024,01,16,25.1,1,N
IDCJAC0010,066194,2024,01,17,28.4,1,N
IDCJAC0010,066194,2024,01,18,29.0,1,N
IDCJAC0010,066194,2024,01,19,28.1,1,Y
IDCJAC0010,066194,2024,01,20,26.3,1,N
IDCJAC0010,066194,2024,01,21,39.1,1,N
IDCJAC0010,066194,2024,01,22,23.9,1,N
IDCJAC0010,066194,2024,01,23,25.5,1,N
IDCJAC0010,066194,2024,01,24,30.1,1,N
IDCJAC0010,066194,2024,01,25,32.2,1,N
IDCJAC0010,066194,2024,01,26,39.5,1,N
IDCJAC0010,066194,2024,01,27,23.4,1,N
IDCJAC0010,066194,2024,01,28,26.7,1,N
IDCJAC0010,066194,2024,01,29,29.0,1,N
IDCJAC0010,066194,2024,01,30,26.5,1,N
IDCJAC0010,066194,2024,01,31,27.1,1,N
IDCJAC0010,066194,2024,02,01,29.5,1,Y
IDCJAC0010,066194,2024,02,02,29.0,1,Y
IDCJAC0010,066194,2024,02,03,27.3,1,Y
IDCJAC0010,066194,2024,02,04,32.9,1,Y
IDCJAC0010,066194,2024,02,05,32.8,1,Y
IDCJAC0010,066194,2024,02,06,24.5,1,Y
IDCJAC0010,066194,2024,02,07,23.8,1,Y
IDCJAC0010,066194,2024,02,08,24.7,1,Y
IDCJAC0010,066194,2024,02,09,24.2,1,Y
IDCJAC0010,066194,2024,02,10,24.9,1,Y
IDCJAC0010,066194,2024,02,11,25.4,1,Y
IDCJAC0010,066194,2024,02,12,28.7,1,Y
IDCJAC0010,066194,2024,02,13,31.4,1,Y
IDCJAC0010,066194,2024,02,14,30.2,1,Y
IDCJAC0010,066194,2024,02,15,21.6,1,Y
IDCJAC0010,066194,2024,02,16,28.4,1,Y
IDCJAC0010,066194,2024,02,17,30.6,1,Y
IDCJAC0010,066194,2024,02,18,29.8,1,Y
IDCJAC0010,066194,2024,02,19,26.7,1,Y
IDCJAC0010,066194,2024,02,20,23.6,1,Y
IDCJAC0010,066194,2024,02,21,26.0,1,Y
IDCJAC0010,066194,2024,02,22,30.9,1,Y
IDCJAC0010,066194,2024,02,23,37.4,1,Y
IDCJAC0010,066194,2024,02,24,21.7,1,Y
IDCJAC0010,066194,2024,02,25,28.1,1,Y
IDCJAC0010,066194,2024,02,26,28.1,1,Y
IDCJAC0010,066194,2024,02,27,24.8,1,Y
IDCJAC0010,066194,2024,02,28,28.5,1,Y
IDCJAC0010,066194,2024,02,29,39.6,1,Y
IDCJAC0010,066194,2024,03,01,27.9,1,N
IDCJAC0010,066194,2024,03,02,24.6,1,N
IDCJAC0010,066194,2024,03,03,32.8,1,N
IDCJAC0010,066194,2024,03,04,22.5,1,N
IDCJAC0010,066194,2024,03,05,25.7,1,N
IDCJAC0010,066194,2024,03,06,29.5,1,N
IDCJAC0010,066194,2024,03,07,26.9,1,N
IDCJAC0010,066194,2024,03,08,29.3,1,N
IDCJAC0010,066194,2024,03,09,29.2,1,N
IDCJAC0010,066194,2024,03,10,29.3,1,N
IDCJAC0010,066194,2024,03,11,28.4,1,N
IDCJAC0010,066194,2024,03,12,34.2,1,Y
IDCJAC0010,066194,2024,03,13,28.7,1,N
IDCJAC0010,066194,2024,03,14,33.0,1,N
IDCJAC0010,066194,2024,03,15,24.1,1,N
IDCJAC0010,066194,2024,03,16,24.8,1,N
IDCJAC0010,066194,2024,03,17,22.6,1,N
IDCJAC0010,066194,2024,03,18,25.5,1,N
IDCJAC0010,066194,2024,03,19,28.1,1,N
IDCJAC0010,066194,2024,03,20,25.2,1,N
IDCJAC0010,066194,2024,03,21,21.5,1,N
IDCJAC0010,066194,2024,03,22,23.9,1,N
IDCJAC0010,066194,2024,03,23,26.0,1,N
IDCJAC0010,066194,2024,03,24,27.3,1,N
IDCJAC0010,066194,2024,03,25,31.4,1,N
IDCJAC0010,066194,2024,03,26,27.9,1,N
IDCJAC0010,066194,2024,03,27,24.9,1,N
IDCJAC0010,066194,2024,03,28,24.7,1,N
IDCJAC0010,066194,2024,03,29,26.0,1,N
IDCJAC0010,066194,2024,03,30,28.8,1,N
IDCJAC0010,066194,2024,03,31,28.3,1,N
IDCJAC0010,066194,2024,04,01,29.2,1,Y
IDCJAC0010,066194,2024,04,02,26.8,1,Y
IDCJAC0010,066194,2024,04,03,24.5,1,Y
IDCJAC0010,066194,2024,04,04,21.5,1,Y
IDCJAC0010,066194,2024,04,05,20.5,1,Y
IDCJAC0010,066194,2024,04,06,28.1,1,Y
IDCJAC0010,066194,2024,04,07,28.1,1,Y
IDCJAC0010,066194,2024,04,08,23.9,1,Y
IDCJAC0010,066194,2024,04,09,21.9,1,Y
IDCJAC0010,066194,2024,04,10,21.1,1,Y
IDCJAC0010,066194,2024,04,11,21.9,1,Y
IDCJAC0010,066194,2024,04,12,24.4,1,Y
IDCJAC0010,066194,2024,04,13,24.1,1,Y
IDCJAC0010,066194,2024,04,14,25.9,1,Y
IDCJAC0010,066194,2024,04,15,25.3,1,Y
IDCJAC0010,066194,2024,04,16,23.6,1,Y
IDCJAC0010,066194,2024,04,17,21.8,1,Y
IDCJAC0010,066194,2024,04,18,24.5,1,Y
IDCJAC0010,066194,2024,04,19,21.1,1,Y
IDCJAC0010,066194,2024,04,20,19.4,1,Y
IDCJAC0010,066194,2024,04,21,21.4,1,Y
IDCJAC0010,066194,2024,04,22,24.2,1,Y
IDCJAC0010,066194,2024,04,23,25.8,1,Y
