Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,66037,2022,04,10,24.9,1,N
IDCJAC0010,66037,2022,04,11,28.4,1,N
IDCJAC0010,66037,2022,04,12,21.5,1,N
IDCJAC0010,66037,2022,04,13,19.3,1,N
IDCJAC0010,66037,2022,04,14,23.1,1,N
IDCJAC0010,66037,2022,04,15,26.1,1,N
IDCJAC0010,66037,2022,04,16,23.5,1,N
IDCJAC0010,66037,2022,04,17,24.7,1,N
IDCJAC0010,66037,2022,04,18,27.4,1,N
IDCJAC0010,66037,2022,04,19,29.0,1,N
IDCJAC0010,66037,2022,04,20,24.6,1,N
IDCJAC0010,66037,2022,04,21,21.3,1,N
IDCJAC0010,66037,2022,04,22,20.4,1,N
IDCJAC0010,66037,2022,04,23,21.3,1,N
IDCJAC0010,66037,2022,04,24,22.8,1,N
IDCJAC0010,66037,2022,04,25,21.8,1,N
IDCJAC0010,66037,2022,04,26,20.2,1,N
IDCJAC0010,66037,2022,04,27,21.0,1,N
IDCJAC0010,66037,2022,04,28,23.5,1,N
IDCJAC0010,66037,2022,04,29,27.1,1,N
IDCJAC0010,66037,2022,04,30,22.0,1,N
IDCJAC0010,66037,2022,05,01,21.8,1,N
IDCJAC0010,66037,2022,05,02,23.6,1,N
IDCJAC0010,66037,2022,05,03,25.0,1,N
IDCJAC0010,66037,2022,05,04,26.8,1,N
IDCJAC0010,66037,2022,05,05,21.9,1,N
IDCJAC0010,66037,2022,05,06,20.6,1,N
IDCJAC0010,66037,2022,05,07,19.9,1,N
IDCJAC0010,66037,2022,05,08,19.9,1,N
IDCJAC0010,66037,2022,05,09,17.9,1,N
IDCJAC0010,66037,2022,05,10,22.2,1,N
IDCJAC0010,66037,2022,05,11,21.2,1,N
IDCJAC0010,66037,2022,05,12,21.8,1,N
IDCJAC0010,66037,2022,05,13,21.4,1,N
IDCJAC0010,66037,2022,05,14,25.6,1,N
IDCJAC0010,66037,2022,05,15,24.5,1,N
IDCJAC0010,66037,2022,05,16,25.0,1,N
IDCJAC0010,66037,2022,05,17,22.4,1,N
IDCJAC0010,66037,2022,05,18,20.5,1,N
IDCJAC0010,66037,2022,05,19,17.8,1,N
IDCJAC0010,66037,2022,05,20,17.0,1,N
IDCJAC0010,66037,2022,05,21,19.7,1,N
IDCJAC0010,66037,2022,05,22,19.9,1,N
IDCJAC0010,66037,2022,05,23,17.2,1,N
IDCJAC0010,66037,2022,05,24,18.3,1,N
IDCJAC0010,66037,2022,05,25,18.8,1,N
IDCJAC0010,66037,2022,05,26,21.5,1,N
IDCJAC0010,66037,2022,05,27,22.5,1,N
IDCJAC0010,66037,2022,05,28,22.2,1,N
IDCJAC0010,66037,2022,05,29,18.0,1,N
IDCJAC0010,66037,2022,05,30,17.3,1,N
IDCJAC0010,66037,2022,05,31,18.0,1,N
IDCJAC0010,66037,2022,06,01,14.8,1,Y
IDCJAC0010,66037,2022,06,02,17.8,1,Y
IDCJAC0010,66037,2022,06,03,17.0,1,Y
IDCJAC0010,66037,2022,06,04,18.1,1,Y
IDCJAC0010,66037,2022,06,05,19.1,1,Y
IDCJAC0010,66037,2022,06,06,18.0,1,Y
IDCJAC0010,66037,2022,06,07,18.3,1,Y
IDCJAC0010,66037,2022,06,08,16.1,1,Y
IDCJAC0010,66037,2022,06,09,16.4,1,Y
IDCJAC0010,66037,2022,06,10,17.8,1,Y
IDCJAC0010,66037,2022,06,11,17.4,1,Y
IDCJAC0010,66037,2022,06,12,17.6,1,Y
IDCJAC0010,66037,2022,06,13,16.0,1,Y
IDCJAC0010,66037,2022,06,14,18.2,1,Y
IDCJAC0010,66037,2022,06,15,19.9,1,Y
IDCJAC0010,66037,2022,06,16,22.0,1,Y
IDCJAC0010,66037,2022,06,17,18.2,1,Y
IDCJAC0010,66037,2022,06,18,17.1,1,Y
IDCJAC0010,66037,2022,06,19,17.6,1,Y
IDCJAC0010,66037,2022,06,20,17.6,1,Y
IDCJAC0010,66037,2022,06,21,19.9,1,Y
IDCJAC0010,66037,2022,06,22,17.5,1,Y
IDCJAC0010,66037,2022,06,23,19.3,1,Y
IDCJAC0010,66037,2022,06,24,18.9,1,Y
IDCJAC0010,66037,2022,06,25,20.7,1,Y
IDCJAC0010,66037,2022,06,26,18.0,1,Y
IDCJAC0010,66037,2022,06,27,15.0,1,Y
IDCJAC0010,66037,2022,06,28,14.9,1,Y
IDCJAC0010,66037,2022,06,29,18.5,1,Y
IDCJAC0010,66037,2022,06,30,17.3,1,Y
IDCJAC0010,66037,2022,07,01,13.4,1,N
IDCJAC0010,66037,2022,07,02,17.0,1,N
IDCJAC0010,66037,2022,07,03,17.6,1,N
IDCJAC0010,66037,2022,07,04,18.1,1,N
IDCJAC0010,66037,2022,07,05,17.3,1,N
IDCJAC0010,66037,2022,07,06,17.2,1,N
IDCJAC0010,66037,2022,07,07,17.5,1,N
IDCJAC0010,66037,2022,07,08,15.6,1,N
IDCJAC0010,66037,2022,07,09,17.2,1,N
IDCJAC0010,66037,2022,07,10,16.6,1,N
IDCJAC0010,66037,2022,07,11,16.1,1,N
IDCJAC0010,66037,2022,07,12,17.1,1,N
IDCJAC0010,66037,2022,07,13,14.4,1,N
IDCJAC0010,66037,2022,07,14,14.5,1,N
IDCJAC0010,66037,2022,07,15,17.4,1,N
IDCJAC0010,66037,2022,07,16,16.5,1,N
IDCJAC0010,66037,2022,07,17,22.4,1,N
IDCJAC0010,66037,2022,07,18,15.8,1,N
IDCJAC0010,66037,2022,07,19,13.3,1,N
IDCJAC0010,66037,2022,07,20,15.6,1,N
IDCJAC0010,66037,2022,07,21,16.5,1,N
IDCJAC0010,66037,2022,07,22,18.5,1,N
IDCJAC0010,66037,2022,07,23,17.2,1,N
IDCJAC0010,66037,2022,07,24,18.2,1,N
IDCJAC0010,66037,2022,07,25,19.4,1,N
IDCJAC0010,66037,2022,07,26,19.9,1,N
IDCJAC0010,66037,2022,07,27,17.2,1,N
IDCJAC0010,66037,2022,07,28,20.1,1,N
IDCJAC0010,66037,2022,07,29,15.0,1,N
IDCJAC0010,66037,2022,07,30,17.3,1,N
IDCJAC0010,66037,2022,07,31,18.9,1,N
IDCJAC0010,66037,2022,08,01,21.9,1,N
IDCJAC0010,66037,2022,08,02,20.3,1,N
IDCJAC0010,66037,2022,08,03,24.8,1,N
IDCJAC0010,66037,2022,08,04,22.6,1,N
IDCJAC0010,66037,2022,08,05,23.7,1,N
IDCJAC0010,66037,2022,08,06,20.6,1,N
IDCJAC0010,66037,2022,08,07,16.8,1,N
IDCJAC0010,66037,2022,08,08,16.1,1,N
IDCJAC0010,66037,2022,08,09,15.1,1,N
IDCJAC0010,66037,2022,08,10,16.2,1,N
IDCJAC0010,66037,2022,08,11,18.1,1,N
IDCJAC0010,66037,2022,08,12,17.3,1,N
IDCJAC0010,66037,2022,08,13,19.6,1,N
IDCJAC0010,66037,2022,08,14,18.6,1,N
IDCJAC0010,66037,2022,08,15,19.0,1,N
IDCJAC0010,66037,2022,08,16,19.5,1,N
IDCJAC0010,66037,2022,08,17,17.9,1,N
IDCJAC0010,66037,2022,08,18,22.2,1,N
IDCJAC0010,66037,2022,08,19,20.2,1,N
IDCJAC0010,66037,2022,08,20,20.1,1,N
IDCJAC0010,66037,2022,08,21,19.2,1,N
IDCJAC0010,66037,2022,08,22,23.0,1,N
IDCJAC0010,66037,2022,08,23,23.1,1,N
IDCJAC0010,66037,2022,08,24,15.1,1,N
IDCJAC0010,66037,2022,08,25,18.0,1,N
IDCJAC0010,66037,2022,08,26,15.8,1,N
IDCJAC0010,66037,2022,08,27,16.4,1,N
IDCJAC0010,66037,2022,08,28,20.3,1,N
IDCJAC0010,66037,2022,08,29,20.3,1,N
IDCJAC0010,66037,2022,08,30,25.1,1,N
IDCJAC0010,66037,2022,08,31,19.2,1,N
IDCJAC0010,66037,2022,09,01,21.1,1,N
IDCJAC0010,66037,2022,09,02,16.8,1,N
IDCJAC0010,66037,2022,09,03,16.6,1,N
IDCJAC0010,66037,2022,09,04,17.7,1,N
IDCJAC0010,66037,2022,09,05,16.8,1,N
IDCJAC0010,66037,2022,09,06,16.7,1,N
IDCJAC0010,66037,2022,09,07,19.0,1,N
IDCJAC0010,66037,2022,09,08,21.1,1,N
IDCJAC0010,66037,2022,09,09,20.9,1,N
IDCJAC0010,66037,2022,09,10,24.4,1,N
IDCJAC0010,66037,2022,09,11,21.4,1,N
IDCJAC0010,66037,2022,09,12,19.4,1,N
IDCJAC0010,66037,2022,09,13,15.8,1,N
IDCJAC0010,66037,2022,09,14,17.9,1,N
IDCJAC0010,66037,2022,09,15,19.4,1,N
IDCJAC0010,66037,2022,09,16,24.9,1,N
IDCJAC0010,66037,2022,09,17,23.0,1,N
IDCJAC0010,66037,2022,09,18,23.8,1,N
IDCJAC0010,66037,2022,09,19,23.1,1,N
IDCJAC0010,66037,2022,09,20,21.8,1,N
IDCJAC0010,66037,2022,09,21,21.2,1,N
IDCJAC0010,66037,2022,09,22,20.2,1,N
IDCJAC0010,66037,2022,09,23,20.4,1,N
IDCJAC0010,66037,2022,09,24,18.7,1,N
IDCJAC0010,66037,2022,09,25,21.6,1,N
IDCJAC0010,66037,2022,09,26,19.6,1,N
IDCJAC0010,66037,2022,09,27,21.8,1,N
IDCJAC0010,66037,2022,09,28,21.0,1,N
IDCJAC0010,66037,2022,09,29,18.5,1,N
IDCJAC0010,66037,2022,09,30,17.8,1,N
IDCJAC0010,66037,2022,10,01,19.1,1,N
IDCJAC0010,66037,2022,10,02,17.5,1,N
IDCJAC0010,66037,2022,10,03,20.0,1,N
IDCJAC0010,66037,2022,10,04,23.6,1,N
IDCJAC0010,66037,2022,10,05,17.6,1,N
IDCJAC0010,66037,2022,10,06,19.0,1,N
IDCJAC0010,66037,2022,10,07,22.4,1,N
IDCJAC0010,66037,2022,10,08,24.5,1,N
IDCJAC0010,66037,2022,10,09,16.0,1,N
IDCJAC0010,66037,2022,10,10,17.6,1,N
IDCJAC0010,66037,2022,10,11,20.6,1,N
IDCJAC0010,66037,2022,10,12,20.7,1,N
IDCJAC0010,66037,2022,10,13,22.3,1,N
IDCJAC0010,66037,2022,10,14,25.8,1,N
IDCJAC0010,66037,2022,10,15,22.0,1,N
IDCJAC0010,66037,2022,10,16,22.5,1,N
IDCJAC0010,66037,2022,10,17,20.5,1,N
IDCJAC0010,66037,2022,10,18,20.7,1,N
IDCJAC0010,66037,2022,10,19,24.5,1,N
IDCJAC0010,66037,2022,10,20,24.3,1,N
IDCJAC0010,66037,2022,10,21,23.9,1,N
IDCJAC0010,66037,2022,10,22,25.3,1,N
IDCJAC0010,66037,2022,10,23,21.1,1,N
IDCJAC0010,66037,2022,10,24,21.3,1,N
IDCJAC0010,66037,2022,10,25,27.2,1,N
IDCJAC0010,66037,2022,10,26,29.6,1,N
IDCJAC0010,66037,2022,10,27,28.5,1,N
IDCJAC0010,66037,2022,10,28,25.7,1,N
IDCJAC0010,66037,2022,10,29,27.2,1,N
IDCJAC0010,66037,2022,10,30,24.1,1,N
IDCJAC0010,66037,2022,10,31,29.7,1,N
IDCJAC0010,66037,2022,11,01,24.5,1,N
IDCJAC0010,66037,2022,11,02,19.9,1,N
IDCJAC0010,66037,2022,11,03,20.6,1,N
IDCJAC0010,66037,2022,11,04,20.0,1,N
IDCJAC0010,66037,2022,11,05,22.8,1,N
IDCJAC0010,66037,2022,11,06,24.3,1,N
IDCJAC0010,66037,2022,11,07,24.9,1,N
IDCJAC0010,66037,2022,11,08,24.3,1,N
IDCJAC0010,66037,2022,11,09,24.1,1,N
IDCJAC0010,66037,2022,11,10,24.4,1,N
IDCJAC0010,66037,2022,11,11,25.6,1,N
IDCJAC0010,66037,2022,11,12,24.9,1,N
IDCJAC0010,66037,2022,11,13,27.0,1,N
IDCJAC0010,66037,2022,11,14,28.9,1,N
IDCJAC0010,66037,2022,11,15,22.9,1,N
IDCJAC0010,66037,2022,11,16,20.1,1,N
IDCJAC0010,66037,2022,11,17,18.2,1,N
IDCJAC0010,66037,2022,11,18,19.9,1,N
IDCJAC0010,66037,2022,11,19,25.5,1,N
IDCJAC0010,66037,2022,11,20,27.7,1,N
IDCJAC0010,66037,2022,11,21,24.5,1,N
IDCJAC0010,66037,2022,11,22,23.5,1,N
IDCJAC0010,66037,2022,11,23,28.6,1,N
IDCJAC0010,66037,2022,11,24,24.7,1,N
