Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,66037,2019,01,01,34.2,1,N
IDCJAC0010,66037,2019,01,02,28.5,1,N
IDCJAC0010,66037,2019,01,03,28.9,1,N
IDCJAC0010,66037,2019,01,04,33.0,1,N
IDCJAC0010,66037,2019,01,05,40.3,1,N
IDCJAC0010,66037,2019,01,06,22.7,1,N
IDCJAC0010,66037,2019,01,07,26.0,1,N
IDCJAC0010,66037,2019,01,08,30.5,1,N
IDCJAC0010,66037,2019,01,09,30.0,1,N
IDCJAC0010,66037,2019,01,10,22.1,1,N
IDCJAC0010,66037,2019,01,11,28.0,1,N
IDCJAC0010,66037,2019,01,12,33.2,1,N
IDCJAC0010,66037,2019,01,13,24.6,1,N
IDCJAC0010,66037,2019,01,14,30.7,1,N
IDCJAC0010,66037,2019,01,15,32.4,1,N
IDCJAC0010,66037,2019,01,16,32.3,1,N
IDCJAC0010,66037,2019,01,17,32.5,1,N
IDCJAC0010,66037,2019,01,18,36.7,1,N
IDCJAC0010,66037,2019,01,19,25.4,1,N
IDCJAC0010,66037,2019,01,20,25.9,1,N
IDCJAC0010,66037,2019,01,21,27.9,1,N
IDCJAC0010,66037,2019,01,22,33.3,1,N
IDCJAC0010,66037,2019,01,23,27.8,1,N
IDCJAC0010,66037,2019,01,24,28.4,1,N
IDCJAC0010,66037,2019,01,25,33.7,1,N
IDCJAC0010,66037,2019,01,26,31.3,1,N
IDCJAC0010,66037,2019,01,27,35.5,1,N
IDCJAC0010,66037,2019,01,28,28.5,1,N
IDCJAC0010,66037,2019,01,29,32.2,1,N
IDCJAC0010,66037,2019,01,30,31.8,1,N
IDCJAC0010,66037,2019,01,31,40.6,1,N
IDCJAC0010,66037,2019,02,01,22.2,1,N
IDCJAC0010,66037,2019,02,02,27.2,1,N
IDCJAC0010,66037,2019,02,03,31.2,1,N
IDCJAC0010,66037,2019,02,04,31.7,1,N
IDCJAC0010,66037,2019,02,05,28.0,1,N
IDCJAC0010,66037,2019,02,06,30.6,1,N
IDCJAC0010,66037,2019,02,07,31.3,1,N
IDCJAC0010,66037,2019,02,08,33.0,1,N
IDCJAC0010,66037,2019,02,09,33.7,1,N
IDCJAC0010,66037,2019,02,10,24.4,1,N
IDCJAC0010,66037,2019,02,11,29.9,1,N
IDCJAC0010,66037,2019,02,12,37.7,1,N
IDCJAC0010,66037,2019,02,13,25.3,1,N
IDCJAC0010,66037,2019,02,14,26.5,1,N
IDCJAC0010,66037,2019,02,15,27.5,1,N
IDCJAC0010,66037,2019,02,16,29.3,1,N
IDCJAC0010,66037,2019,02,17,31.0,1,N
IDCJAC0010,66037,2019,02,18,32.3,1,N
IDCJAC0010,66037,2019,02,19,27.3,1,N
IDCJAC0010,66037,2019,02,20,23.0,1,N
IDCJAC0010,66037,2019,02,21,22.7,1,N
IDCJAC0010,66037,2019,02,22,21.8,1,N
IDCJAC0010,66037,2019,02,23,22.3,1,N
IDCJAC0010,66037,2019,02,24,25.6,1,N
IDCJAC0010,66037,2019,02,25,25.7,1,N
IDCJAC0010,66037,2019,02,26,28.6,1,N
IDCJAC0010,66037,2019,02,27,25.2,1,N
IDCJAC0010,66037,2019,02,28,29.7,1,N
IDCJAC0010,66037,2019,03,01,29.1,1,N
IDCJAC0010,66037,2019,03,02,29.3,1,N
IDCJAC0010,66037,2019,03,03,29.7,1,N
IDCJAC0010,66037,2019,03,04,30.4,1,N
IDCJAC0010,66037,2019,03,05,30.2,1,N
IDCJAC0010,66037,2019,03,06,36.1,1,N
IDCJAC0010,66037,2019,03,07,24.4,1,N
IDCJAC0010,66037,2019,03,08,29.5,1,N
IDCJAC0010,66037,2019,03,09,23.8,1,N
IDCJAC0010,66037,2019,03,10,30.0,1,N
IDCJAC0010,66037,2019,03,11,27.4,1,N
IDCJAC0010,66037,2019,03,12,36.5,1,N
IDCJAC0010,66037,2019,03,13,25.0,1,N
IDCJAC0010,66037,2019,03,14,28.3,1,N
IDCJAC0010,66037,2019,03,15,23.2,1,N
IDCJAC0010,66037,2019,03,16,25.2,1,N
IDCJAC0010,66037,2019,03,17,21.4,1,N
IDCJAC0010,66037,2019,03,18,23.4,1,N
IDCJAC0010,66037,2019,03,19,26.3,1,N
IDCJAC0010,66037,2019,03,20,25.0,1,N
IDCJAC0010,66037,2019,03,21,26.0,1,N
IDCJAC0010,66037,2019,03,22,26.5,1,N
IDCJAC0010,66037,2019,03,23,29.3,1,N
IDCJAC0010,66037,2019,03,24,30.4,1,N
IDCJAC0010,66037,2019,03,25,27.8,1,N
IDCJAC0010,66037,2019,03,26,25.9,1,N
IDCJAC0010,66037,2019,03,27,23.4,1,N
IDCJAC0010,66037,2019,03,28,27.2,1,N
IDCJAC0010,66037,2019,03,29,28.1,1,N
IDCJAC0010,66037,2019,03,30,26.9,1,N
IDCJAC0010,66037,2019,03,31,22.5,1,N
IDCJAC0010,66037,2019,04,01,21.0,1,N
IDCJAC0010,66037,2019,04,02,23.1,1,N
IDCJAC0010,66037,2019,04,03,27.6,1,N
IDCJAC0010,66037,2019,04,04,22.5,1,N
IDCJAC0010,66037,2019,04,05,21.5,1,N
IDCJAC0010,66037,2019,04,06,30.1,1,N
IDCJAC0010,66037,2019,04,07,27.4,1,N
IDCJAC0010,66037,2019,04,08,34.7,1,N
IDCJAC0010,66037,2019,04,09,27.8,1,N
IDCJAC0010,66037,2019,04,10,18.8,1,N
IDCJAC0010,66037,2019,04,11,20.0,1,N
IDCJAC0010,66037,2019,04,12,22.0,1,N
IDCJAC0010,66037,2019,04,13,27.6,1,N
IDCJAC0010,66037,2019,04,14,22.1,1,N
IDCJAC0010,66037,2019,04,15,22.1,1,N
IDCJAC0010,66037,2019,04,16,23.8,1,N
IDCJAC0010,66037,2019,04,17,25.3,1,N
IDCJAC0010,66037,2019,04,18,27.5,1,N
IDCJAC0010,66037,2019,04,19,23.6,1,N
IDCJAC0010,66037,2019,04,20,25.3,1,N
IDCJAC0010,66037,2019,04,21,27.2,1,N
IDCJAC0010,66037,2019,04,22,27.3,1,N
IDCJAC0010,66037,2019,04,23,23.2,1,N
IDCJAC0010,66037,2019,04,24,27.1,1,N
IDCJAC0010,66037,2019,04,25,25.4,1,N
IDCJAC0010,66037,2019,04,26,30.0,1,N
IDCJAC0010,66037,2019,04,27,18.9,1,N
IDCJAC0010,66037,2019,04,28,22.3,1,N
IDCJAC0010,66037,2019,04,29,22.1,1,N
IDCJAC0010,66037,2019,04,30,25.2,1,N
IDCJAC0010,66037,2019,05,01,25.6,1,N
IDCJAC0010,66037,2019,05,02,25.7,1,N
IDCJAC0010,66037,2019,05,03,26.0,1,N
IDCJAC0010,66037,2019,05,04,21.3,1,N
IDCJAC0010,66037,2019,05,05,18.9,1,N
IDCJAC0010,66037,2019,05,06,19.3,1,N
IDCJAC0010,66037,2019,05,07,23.9,1,N
IDCJAC0010,66037,2019,05,08,21.9,1,N
IDCJAC0010,66037,2019,05,09,21.7,1,N
IDCJAC0010,66037,2019,05,10,20.9,1,N
IDCJAC0010,66037,2019,05,11,20.9,1,N
IDCJAC0010,66037,2019,05,12,21.0,1,N
IDCJAC0010,66037,2019,05,13,24.0,1,N
IDCJAC0010,66037,2019,05,14,22.0,1,N
IDCJAC0010,66037,2019,05,15,22.0,1,N
IDCJAC0010,66037,2019,05,16,23.5,1,N
IDCJAC0010,66037,2019,05,17,24.6,1,N
IDCJAC0010,66037,2019,05,18,21.1,1,N
IDCJAC0010,66037,2019,05,19,23.3,1,N
IDCJAC0010,66037,2019,05,20,23.8,1,N
IDCJAC0010,66037,2019,05,21,27.6,1,N
IDCJAC0010,66037,2019,05,22,22.1,1,N
IDCJAC0010,66037,2019,05,23,22.5,1,N
IDCJAC0010,66037,2019,05,24,25.9,1,N
IDCJAC0010,66037,2019,05,25,27.6,1,N
IDCJAC0010,66037,2019,05,26,23.8,1,N
IDCJAC0010,66037,2019,05,27,20.7,1,N
IDCJAC0010,66037,2019,05,28,20.2,1,N
IDCJAC0010,66037,2019,05,29,20.4,1,N
IDCJAC0010,66037,2019,05,30,17.0,1,N
IDCJAC0010,66037,2019,05,31,20.3,1,N
IDCJAC0010,66037,2019,06,01,18.3,1,N
IDCJAC0010,66037,2019,06,02,19.6,1,N
IDCJAC0010,66037,2019,06,03,18.8,1,N
IDCJAC0010,66037,2019,06,04,14.2,1,N
IDCJAC0010,66037,2019,06,05,14.4,1,N
IDCJAC0010,66037,2019,06,06,18.1,1,N
IDCJAC0010,66037,2019,06,07,17.1,1,N
IDCJAC0010,66037,2019,06,08,16.2,1,N
IDCJAC0010,66037,2019,06,09,22.0,1,N
IDCJAC0010,66037,2019,06,10,22.7,1,N
IDCJAC0010,66037,2019,06,11,21.9,1,N
IDCJAC0010,66037,2019,06,12,21.0,1,N
IDCJAC0010,66037,2019,06,13,22.0,1,N
IDCJAC0010,66037,2019,06,14,20.4,1,N
IDCJAC0010,66037,2019,06,15,18.8,1,N
IDCJAC0010,66037,2019,06,16,16.0,1,N
IDCJAC0010,66037,2019,06,17,15.7,1,N
IDCJAC0010,66037,2019,06,18,19.0,1,N
IDCJAC0010,66037,2019,06,19,15.8,1,N
IDCJAC0010,66037,2019,06,20,15.9,1,N
IDCJAC0010,66037,2019,06,21,14.9,1,N
IDCJAC0010,66037,2019,06,22,14.5,1,N
IDCJAC0010,66037,2019,06,23,15.0,1,N
IDCJAC0010,66037,2019,06,24,16.4,1,N
IDCJAC0010,66037,2019,06,25,17.9,1,N
IDCJAC0010,66037,2019,06,26,17.6,1,N
IDCJAC0010,66037,2019,06,27,18.7,1,N
IDCJAC0010,66037,2019,06,28,21.6,1,N
IDCJAC0010,66037,2019,06,29,21.4,1,N
IDCJAC0010,66037,2019,06,30,19.1,1,N
IDCJAC0010,66037,2019,07,01,18.9,1,N
IDCJAC0010,66037,2019,07,02,21.7,1,N
IDCJAC0010,66037,2019,07,03,18.8,1,N
IDCJAC0010,66037,2019,07,04,18.4,1,N
IDCJAC0010,66037,2019,07,05,18.4,1,N
IDCJAC0010,66037,2019,07,06,20.2,1,N
IDCJAC0010,66037,2019,07,07,20.1,1,N
IDCJAC0010,66037,2019,07,08,21.6,1,N
IDCJAC0010,66037,2019,07,09,18.8,1,N
IDCJAC0010,66037,2019,07,10,18.6,1,N
IDCJAC0010,66037,2019,07,11,21.1,1,N
IDCJAC0010,66037,2019,07,12,21.2,1,N
IDCJAC0010,66037,2019,07,13,16.2,1,N
IDCJAC0010,66037,2019,07,14,17.9,1,N
IDCJAC0010,66037,2019,07,15,18.1,1,N
IDCJAC0010,66037,2019,07,16,21.6,1,N
IDCJAC0010,66037,2019,07,17,20.8,1,N
IDCJAC0010,66037,2019,07,18,20.0,1,N
IDCJAC0010,66037,2019,07,19,19.5,1,N
IDCJAC0010,66037,2019,07,20,20.9,1,N
IDCJAC0010,66037,2019,07,21,24.6,1,N
IDCJAC0010,66037,2019,07,22,23.9,1,N
IDCJAC0010,66037,2019,07,23,24.2,1,N
IDCJAC0010,66037,2019,07,24,20.7,1,N
IDCJAC0010,66037,2019,07,25,20.3,1,N
IDCJAC0010,66037,2019,07,26,19.6,1,N
IDCJAC0010,66037,2019,07,27,18.4,1,N
IDCJAC0010,66037,2019,07,28,19.4,1,N
IDCJAC0010,66037,2019,07,29,20.8,1,N
IDCJAC0010,66037,2019,07,30,15.1,1,N
IDCJAC0010,66037,2019,07,31,15.8,1,N
IDCJAC0010,66037,2019,08,01,20.1,1,N
IDCJAC0010,66037,2019,08,02,17.4,1,N
IDCJAC0010,66037,2019,08,03,21.4,1,N
IDCJAC0010,66037,2019,08,04,17.8,1,N
IDCJAC0010,66037,2019,08,05,21.2,1,N
IDCJAC0010,66037,2019,08,06,20.4,1,N
IDCJAC0010,66037,2019,08,07,23.5,1,N
IDCJAC0010,66037,2019,08,08,21.5,1,N
IDCJAC0010,66037,2019,08,09,18.3,1,N
IDCJAC0010,66037,2019,08,10,16.0,1,N
IDCJAC0010,66037,2019,08,11,16.5,1,N
IDCJAC0010,66037,2019,08,12,16.4,1,N
IDCJAC0010,66037,2019,08,13,17.0,1,N
IDCJAC0010,66037,2019,08,14,19.6,1,N
IDCJAC0010,66037,2019,08,15,21.8,1,N
IDCJAC0010,66037,2019,08,16,25.8,1,N
IDCJAC0010,66037,2019,08,17,17.4,1,N
IDCJAC0010,66037,2019,08,18,21.3,1,N
IDCJAC0010,66037,2019,08,19,17.4,1,N
IDCJAC0010,66037,2019,08,20,21.5,1,N
IDCJAC0010,66037,2019,08,21,22.3,1,N
IDCJAC0010,66037,2019,08,22,19.5,1,N
IDCJAC0010,66037,2019,08,23,19.9,1,N
IDCJAC0010,66037,2019,08,24,25.9,1,N
IDCJAC0010,66037,2019,08,25,21.0,1,N
IDCJAC0010,66037,2019,08,26,15.8,1,N
IDCJAC0010,66037,2019,08,27,15.8,1,N
IDCJAC0010,66037,2019,08,28,20.2,1,N
IDCJAC0010,66037,2019,08,29,15.0,1,N
IDCJAC0010,66037,2019,08,30,15.5,1,N
IDCJAC0010,66037,2019,08,31,16.4,1,N
IDCJAC0010,66037,2019,09,01,23.3,1,N
IDCJAC0010,66037,2019,09,02,19.1,1,N
IDCJAC0010,66037,2019,09,03,23.7,1,N
IDCJAC0010,66037,2019,09,04,29.2,1,N
IDCJAC0010,66037,2019,09,05,21.7,1,N
IDCJAC0010,66037,2019,09,06,30.4,1,N
IDCJAC0010,66037,2019,09,07,20.3,1,N
IDCJAC0010,66037,2019,09,08,20.1,1,N
IDCJAC0010,66037,2019,09,09,17.4,1,N
IDCJAC0010,66037,2019,09,10,16.4,1,N
IDCJAC0010,66037,2019,09,11,20.7,1,N
IDCJAC0010,66037,2019,09,12,27.6,1,N
IDCJAC0010,66037,2019,09,13,20.1,1,N
IDCJAC0010,66037,2019,09,14,19.8,1,N
IDCJAC0010,66037,2019,09,15,28.6,1,N
IDCJAC0010,66037,2019,09,16,28.7,1,N
IDCJAC0010,66037,2019,09,17,15.7,1,N
IDCJAC0010,66037,2019,09,18,17.5,1,N
IDCJAC0010,66037,2019,09,19,21.9,1,N
IDCJAC0010,66037,2019,09,20,23.0,1,N
IDCJAC0010,66037,2019,09,21,24.1,1,N
IDCJAC0010,66037,2019,09,22,23.4,1,N
IDCJAC0010,66037,2019,09,23,22.0,1,N
IDCJAC0010,66037,2019,09,24,22.1,1,N
IDCJAC0010,66037,2019,09,25,20.2,1,N
IDCJAC0010,66037,2019,09,26,22.1,1,N
IDCJAC0010,66037,2019,09,27,27.7,1,N
IDCJAC0010,66037,2019,09,28,19.0,1,N
IDCJAC0010,66037,2019,09,29,22.3,1,N
IDCJAC0010,66037,2019,09,30,18.1,1,N
IDCJAC0010,66037,2019,10,01,21.3,1,N
IDCJAC0010,66037,2019,10,02,25.6,1,N
IDCJAC0010,66037,2019,10,03,31.1,1,N
IDCJAC0010,66037,2019,10,04,34.7,1,N
IDCJAC0010,66037,2019,10,05,18.9,1,N
IDCJAC0010,66037,2019,10,06,23.6,1,N
IDCJAC0010,66037,2019,10,07,22.6,1,N
IDCJAC0010,66037,2019,10,08,23.3,1,N
IDCJAC0010,66037,2019,10,09,17.6,1,N
IDCJAC0010,66037,2019,10,10,18.9,1,N
IDCJAC0010,66037,2019,10,11,19.0,1,N
IDCJAC0010,66037,2019,10,12,19.2,1,N
IDCJAC0010,66037,2019,10,13,19.9,1,N
IDCJAC0010,66037,2019,10,14,23.6,1,N
IDCJAC0010,66037,2019,10,15,26.1,1,N
IDCJAC0010,66037,2019,10,16,25.8,1,N
IDCJAC0010,66037,2019,10,17,29.7,1,N
IDCJAC0010,66037,2019,10,18,25.0,1,N
IDCJAC0010,66037,2019,10,19,30.0,1,N
IDCJAC0010,66037,2019,10,20,21.5,1,N
IDCJAC0010,66037,2019,10,21,23.8,1,N
IDCJAC0010,66037,2019,10,22,25.1,1,N
IDCJAC0010,66037,2019,10,23,26.5,1,N
IDCJAC0010,66037,2019,10,24,28.1,1,N
IDCJAC0010,66037,2019,10,25,38.2,1,N
IDCJAC0010,66037,2019,10,26,32.5,1,N
IDCJAC0010,66037,2019,10,27,22.5,1,N
IDCJAC0010,66037,2019,10,28,22.3,1,N
IDCJAC0010,66037,2019,10,29,26.8,1,N
IDCJAC0010,66037,2019,10,30,29.2,1,N
IDCJAC0010,66037,2019,10,31,28.0,1,N
IDCJAC0010,66037,2019,11,01,27.5,1,N
IDCJAC0010,66037,2019,11,02,27.9,1,N
IDCJAC0010,66037,2019,11,03,32.9,1,N
IDCJAC0010,66037,2019,11,04,24.4,1,N
IDCJAC0010,66037,2019,11,05,19.1,1,N
IDCJAC0010,66037,2019,11,06,30.5,1,N
IDCJAC0010,66037,2019,11,07,30.8,1,N
IDCJAC0010,66037,2019,11,08,32.1,1,N
IDCJAC0010,66037,2019,11,09,19.9,1,N
IDCJAC0010,66037,2019,11,10,23.9,1,N
IDCJAC0010,66037,2019,11,11,27.8,1,N
IDCJAC0010,66037,2019,11,12,37.9,1,N
IDCJAC0010,66037,2019,11,13,22.2,1,N
IDCJAC0010,66037,2019,11,14,26.1,1,N
IDCJAC0010,66037,2019,11,15,33.8,1,N
IDCJAC0010,66037,2019,11,16,22.9,1,N
IDCJAC0010,66037,2019,11,17,22.3,1,N
IDCJAC0010,66037,2019,11,18,27.2,1,N
IDCJAC0010,66037,2019,11,19,34.9,1,N
IDCJAC0010,66037,2019,11,20,23.9,1,N
IDCJAC0010,66037,2019,11,21,29.4,1,N
